nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
확실한인도와이드,"이너로 입으려 구매했는데 원단퀄리티도 좋고 세탁후 변형없어요
좋아요",5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
다양한영국레트로,그냥 재질 괜찮고 핏도 그냥 막 옷이 길지도 않고 괜찮은듯,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
다양한영국레트로,가성비 좋은듯 그냥 재질도괜찮고 걍 기본티 이거 ㄱ,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
스윗한블랙마켓,딱 근본이네요 좋습니다 가격도 무난하고 여름에 더 많은 수량을 구매할거 같아요,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
놀라운버건디퀄팅,중학생 아들 체육복 이너용으로 구매했습니다. 가성비좋고 막입히기 좋습니다.,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
해적거북,이어티로 너무 잘 입고 있어요 다음에 또 사고 싶어요,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
해적거북,기본티로 좋아여 이너로 잘입고다녀요 체형에 잘 맞아요,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
뚝비,따구이너로 입기 적당하고 좋습니다 원단이 은근 쫀쫀하내요,4.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
Kegkeg,"한번 세탁 돌리니까 목이 좀 쭈글쭈글해지네요
그거 빼곤 만족합니다",4.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
히어로즈,남방 안에 입기 너무 좋아요@ 두께감도 적당합니다,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
단정한페루스웨터,넉넉해서 셔츠안에 입기에도 좋고 단독으로 입기에도 좋아요,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
민기준기도운맘,소재도 디자인도 좋고 너무편합니다. 자주입을것같아요.,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
-가현-,동생 이너로 입으라고 사줬는데 마음에 든다고 하네요 믿고 입는 무탠다드 반팔입니다,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
작은성수실크,줄어 드는 재질이예요 넉넉히 사이즈 감안하고 사세요,3.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
달디단밤양갱단,배송은 언제나 빠름~!! 몇번째 재구매인지 기억도 안남 ㅎ 면도 너무좋구 목카라도 가격대비에 내구성이 좋습니다!! 가격도 굿~!!,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
포근한용산스키니,면 이너티로 딱 1년정도 입기 괜찮은 품질같아요,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
저엉빈이,정석적인 흰티에다가 가격도 착하고 무난무난하게 좋았다,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
yllrx.v,예뻐요므 무난무난하게 더 잘 어울리고 하나씩 가지고있으면 좋을듯,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
ddugi1020,퀄리티도 좋고 가볍게 이너나 레이어드로도 사용하기 좋은거 같아요! 추천합니다!!,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
잇힝쟁이,핏은괜찮은데 어께쪽 봉제라인이 튀어나와서 조금 거슬리네요.,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
hun9999,굿 너무좋아요 사이즈도 딱맞고 너무너무 편해요,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
Xyxyxyz,가격도 싸게 잘사고 재질도 탄탄해서 자주 입을거같아요,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
게으른서촌모헤어,"자주 애용하는 무탠다드 항상 잘입고있습니다~~
가",5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
중중중중중중,배송도 빠르고 만족합니아 항상 구매하는데품이에요,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
트팡,가성비 좋습니다. 재질이나 핏 모두 마음에 들어요.,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
땅콩16,남편꺼 주문했는 데 좋다고 합니다. 제가 보기에도 역시 기본에 충실한 무탠다드네요!! 재구매 의사 있습니다.,5.0,베이식 크루 넥 티셔츠 3팩,35690,25,46394,10000,23
