nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
쭈니투맘,중2아들꺼 구입했는데 괜찮은것 같아요. 잘 입을께요,4.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
자신있는옥색래플,제질도 괜찮고 지금 날씨에 딱이네요 다음에는 구매는 안 할거 같아요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
10ten,기본디자인이라 여기저기 입기 좋아요. 글고 보풀도 안나고 굿입니다.,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
hS2dogi,"작년에 M사이즈 사서 입었는데 잘입었어서 요번에 L사이즈로 재구매했어요
겨울에(기모) 입기좋은 기본 와이드 츄리닝",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
토닥토닥78,키172 아들 사줬는데 큰애사준거랑 같은 건줄알고 잘못 구입 사이즈가 크고 길어요 성장기라 쟁여두고 내년에 입히려구요,4.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
마상90,너무 가성비 있고 완전 혜자 입니다ㅎㅎ 덕붓에 이쁜옷 구입했네요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
소중한허드슨시크,원단도 좋고 기모도 빵빵해서 재구매하러 갑니다,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
파랑과자,사진이랑 비슷하고 편해서 무난하게 입기좋아요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
낮은로마머플러,조금 크긴한데 길이도 적당하고 핏이쁘고 따뜻하니 좋아요!,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
토마토개꿀맛,좀 얇긴하네요 기모살걸 그래도 제가원하던 허리랑 기장이랑 핏이에요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
tteang,"되게 따뜻한데 생각보다 많이 무겁진 않아요!
부드럽고 밴딩도 강하지 않아서 착용감이 편안합니다.",4.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
Neoe,"저번꺼 건조 잘 못 돌려서 작아져서..
너무 맘에 들어서 다시 샀어요ㅠ",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
가녀린니스트렌드,핏도 이쁘고 따뜻해서 막입기 너무 좋아요 잘입을게요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
토닥토닥78,사이즈 미스로 너무 길어서 교환하면 배송비가 더 많이 들거같아 성장기 아이라 더 크면 입히려고 옷장 보관합니다. 얇은 천이라 여름용이에요 제가 입는거랑 같은 건줄 알고 구매했는데 다시 무신사걸로 구매했어요,4.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
dinowon,지난주에 비오고 개추웠는데 바지가 넘 따뜻해서 벗기가 싫었습니다ㅋㅋ,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
정교한서초슬리퍼,"따뜻하고 가볍습니다.
색도 예쁘고 아주 편하게 입고있어요",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
매킬로이김,아들이 예전에 S입고 키가커서 M으로 주문했어요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
삼멍이,기장이 제가 딱 원하는 기장이여서 너무 좋았아요 ㅠ,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
유익한오렌지핀턱,작년에 사고 이번에 또 샀습니다. 만족하면서 입고 있습니다,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
금동이ㅡ,"아들입으려고샀는데 앞부분이 좀 여성스럽다고해서
제가 입으려고요",3.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
Hong성건,재구매 해서 입고 있어요 앞으로 스웨트 팬츠는 여기서만 살거 같아요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
중요한부산러닝화,기장이 살짝 길게 느껴지네요. 편하게 입기 너무 좋습니다.,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
차분한서울스트릿,색상도 너무 예뿌고 처음삿는데 앞으로 더 애용할것 같아용,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
Kyung0324,놀러갈때 입으면 편안하고 대학교에 자주 입고 다닐듯 해요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
Kyung0324,"이 바지 뭐입을까 고민하는데 발견해 맘에 들어서 주문했다, 입어보니 핏이 너무 좋고 편안해요",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
가녀린니스트렌드,핏도 생각하던 느낌이고 너무 따뜻해서 잘 입을거같아요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
눈치없는칠레득템,제작 업체가 바꼈나요? 예전에 구매해서 입은 뒤로 오래돼서 재구매 했는데 너무 달라요 예전엔 옷감이 촤르르 떨어지는 느낌이었는데 지금은 뻣뻣하고 핏도 어정쩡하고 최악이네요.. 리뉴얼해서 제품 특징이 바꼈으면 표시라도 해야하는 거 아닌가요 ㅠㅠ 이전과 달라도 너무 다른 제품이 와서 실망입니다,1.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
훈훈한니스티셔츠,전에 샀다가 너무 편하고 좋아서 스타일도 투턱이라 잘 맞고 지금도 입어보니 허리가 좀 탄탄하게 조여주는 게 사라져서 조금 아쉽네요. 그래도 잘 입다가 다음엔 다른 거 살 거 같네요! 허리만 전 거랑 같이 짱짱했으면 너무 좋았을 거 같았습니다,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
예술적인회색집업,허벅지쪽이 넓어서 딱 사이즈가 맞음 재질도 좋아요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
범어동재수생,"항상 믿고 입는 에이지오디 팬츠인것 같습니다
질감이나 색감 둘다 넘 만족해요",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
부드러운허드슨뮬,"작년에 구매해서 겨울 제외하고 내내입더니
같은 제품으로 다시 사달라고 하네요
무난하고 편해서 이것만 찾넹ㆍ",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
예쁜브뤼셀모헤어,"500번재구매할예젙입니다
평생템진심
매일입어요",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
장엄한LA버튼,"길이는 좀 긴편이고 검정색에 비해선 좀 얇은 느낌이듬
두번째구매임",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
예민한광주머플러,"바지 잘못사면 안쪽이 껄끄러우면서 불편한데
이바지는 불편하지 않고 편안합니다.
통이 적당히 넓어 핏이 예쁩니다.",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
예민한광주머플러,"멋쟁이 아들의 여름바지가 필요해서 구입했어요.
물론 반바지보다는 두께가 있긴 하지만
그래도 만족하며 입고 있습니다.",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
백바람,"요즘 편하게 입을 바지 찾다가 원턱 와이드 스웨트 팬츠 발견해서 구매했어요! ✨
받자마자 입어봤는데 핏이 정말 예쁘고, 허리 밴딩도 짱짱해서 너무 편하더라구요 😊
원턱 디자인 덕분에 부해 보이지 않고, 핏이 자연스럽게 떨어져서 데일리룩으로 딱이에요!",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
산만한페루코디,사이즈도 넉넉하고 편하고 초여름까지 거의 맨날 입고다녔어요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
삭즈에,기장이랑 핏 둘 다 마음에 드네요 가격도 저렴해서 편하게 입고 다니기 너무 좋을 것 같아요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
KimJinHo,무난하게 잘 입을만한 그런 츄리닝 바지인 것 같습니다.,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
아늑한파리마스크,진짜 너무 좋아요!! 통이 좀 넓은편이긴한데 이정도면 진짜 만족입니다 촤고~~,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
언제사지,길이가 생각보다 길긴한데 신발 굽 높은거 신으면 괜찮더라고요ㅋㅋ 너무 편하고 츄리닝 바지 하나 장만하고 싶어서 산건데 잘 입고 다녔습니다,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
선한타이베이키링,"재구매했습니다.
옷 재질 너무 좋은듯
기장도 길고 너무 좋습니다.",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
아이구12345,진짜 매일매일 입을수 있는 바지로 딱이에요 제 애착바지 된거같아요,4.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
착한금색보우타이,얇아서 시원하고 편합니다. 색깔도 무난하고 좋음,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
포근한휴스턴조끼,"너무 괜찮네요 얇긴 하지만 한겨울빼고 가능합니다
편하고 좋습니다 사이즈도 만족",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
포근한휴스턴조끼,빨래 후 조금 줄어드는감이 있어 다음 구매시 XL 구매례정입니다 그래도 기장 짭지 않습니다 괜찮아요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
포근한휴스턴조끼,아주 좋습니다 휘뚜루마뚜루 잘입어요 다음엔 XL 구매 예정입니다 세탁하믄 좀 줄어요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
5wal_5il,벌써 3번째 구매에요!! 너무 예쁘고 가성비 짱 꼭 구매하세용,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
탄탄이씨,편안하고 핏이 너무 좋아요. 데일리로 자주 입을 것 같아요!,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
Ayyyy,널널한데 너무 펑퍼짐하지 않아서 핏이 맘에 들어요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
주아니맘,검정조사고 계속 입고있음 편함 줄어듬없음 보풀제로,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
주아니맘,기모있는거 없는거 모두사서 검정색까지 계속!구매해서 입공ㄱㅆㅇㆍㄱ요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
jhe0825,편해서 어디에나 입기 좋습니다!! 다른 색상도 구매하면 좋을 것 같아요 ㅎㅎ,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
착한금색보우타이,얇아서 시원하고 편해서 좋습니다. 색깔도 무난하게 괜찮,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
멋으로 먹고사는남자,바지가 필요했는데 기장도 맘에들고 배송이 빨라서 좋았습니다,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
쿨한몰디브클러치,"생각보다 사이즈가 크네요.
다행히 한 치수 작게 불러서 잘 입고 다녀요.",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
뛰뛰립뛰뛰,"아주 편합니다 깔별로 샀어요
긴 거 짧은 거 다 있음",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
풍성한파리무드,너무 좋아요 근데 입다 보면 더 마음에 드실거에요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
재치있는유럽체인,길이는 조금 길어서 수선했지만 편하게 막 입기 좋은거 같습니다 사이즈도 넉넉해요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
샬라슐라,저렴한 티가 나긴 하지만 싸니까 ㅎㅎ 크게 사려고 한 걸 까먹고 s로 사서 아쉽지만! 배송 빨라서 좋아여 잘 입겠습니다,4.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
Dkssuddl,"여름바지 중에 가장 잘 입고 있어요
학교갈 때 반바지 입기 싫어해서
이 바지 교복마냥 입고다닙니당",5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
재민짱,정말 핏이며 색상이며 최고에요 저렴한가격에 비해 퀄리티 최고네요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
이쁜 그렘닌,좋은 제품 넘 저렴하게 잘샀어요 재질도 탄탄하니 좋아요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
취향저격빨강점퍼,그냥 편해서 집앞에 갈때입기도좋고 튼튼한거같아요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
취향저격빨강점퍼,그냥 편해서 무난무난하게 어디에도 어울립니다,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
오늘은인디고셔링,무진장 때 기본템 장만하려고 스웻팬츠 구매했는데 통 크고 편하네요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
정중한버건디조끼,재구매 해서 입고있습니다. 무난하니 막 입기 좋고 얇아서 부담없습니다,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
경쾌한세종티셔츠,키가 186이고 몸무게는 77정도 나가는것같아요 기장은 딱맞고 좋네요,5.0,원턱 와이드 스웨트 팬츠 [그레이],28800,20,9082,581,50000
