nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
믓아가사자,"사이즈도 딱 좋네요 
가격대비 좋습니다 
또 구매해야겠네요",5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
skadjr,레이어드 하기 좋아요 앞으로 자주 입고 다닐것같아요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
쥐한,재질 사이즈 모두 만족 사진에 나온 색감보 조금 더 찐한듯,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
anfielㄷ,안에 레이어드로 입기에 딱 좋습니다. 기장때문에 하나 작게 했어요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
이대륜 엿,맛도리에요 맛도리에요 맛도리입니다 좋아요 굿,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
달콤한프라하셔츠,레이어드 하기 딱 좋은 핏감과 두께 길이를 가진 티셔추,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
블스b,레이어드 첨사보는데 맘에듭니다 길이감이 알맞는듯 하네요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
밥먹는감자,기본템으로 레이어드 반팔티가 필요했는데 기본에 딱 충실한 옷이에요. 잘 입겠습니다,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
복잡한빨강코디템,"다른 레이어드티보다 옆에 트임이 있어서 좋았음
1사이즈 다운도 괜찮을것 같아 주문함",5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
난해한보스턴퍼프,옷이 조금 길어요. 그래도 두께는 만족합니다. 그래서 안에 넣어입어야 할 것 같아요.,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
willy1011,레이어드티로 딱입니다 이번에만 2번째 구매인데 목 늘어남이 아쉽습니다,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
놀라운멕시코셔링,가성비 고트 후드티랑같이입어도 좋음 최고에용,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
따뜻한방배초커,너무너무좋네요 또구매하고싶을정도네요 체형참고하세요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
이강인.,합리적인 가격에 좋은 제품을 구매할 수 있어서 좋았습니다!,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
으차잇,재질이 보들보들 좋고 편하고 예뻐요 자주입을거 같아요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
eunsuuuuuuue,편하고 좋아요 집에서 자주자주 입을 거 같습니다 좋아요 굿,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
사이쿠쉬,레이어드하기 사이즈 딱 좋고 가격 대비 무난하고 좋아요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
악어는왁왁해,길이도 적당하고 레이어드로 입기 편하고좋아요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
1__chan,"적당한 길이의 레이어드티, 옆트임 디테일까지 좋습니다",5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
쵸오오비이이,역시 믿고사는 무탠다드 입니다 배송도 엄청 빨라요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
멋있는파리피어싱,세탁해도 하나도 늘어나지않고 핏도 좋아서 잘산거같아요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
공개된주황비니,허벅돼티안나고 무난하게 입기 좋고 청바지 불편한사람도 입기좋습니다.,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
토목토목,이너로 입으려고 샀어요. 짱짱하고 입기 좋을것같아요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
구리구리구구리,길이가 티셔츠 밑으로 적당히 내려와 스타일 좋아짐,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
jkt5656,M과 L 사이의 사이즈가 제 체형에 잘 맞을 것 같아요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
IIIlll123,이너로 입기좋고 모양이 짱짱하게 남아서 아주 만족스럽게 입고있어요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
눈부신남산오버울,굿굿 좋아요 이너로 입기 좋 습니다 기장잘보고사세요 저한테는 좀 기네요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
빛의가호,"만족합니다
이너로 입기에 딱이에요
후드 안에 입으려구욤",5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
열심인로마론칭,그냥 면티로 입기도좋고 레이어드 하기에도 딱좋은 길이여서 조아요,5.0,레이어드 크루 넥 티셔츠_일반 기장 [화이트],15990,5,73431,70000,600000
