nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
씩씩한파랑패션,그레이 검정 구매 했는데 통이라서 편하게 잘 입고 다녀요.. 감사합니다,5.0,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),29900,20,37994,360000,270000
달콤한대만치마,길이하고 사이즈 색감 적당하고 착용감 좋습니다,5.0,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),29900,20,37994,360000,270000
정교한전주뷰티,상품의 품질이나 마감 상태가 좋았고 옷이 생각보다 조금 큼,4.0,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),29900,20,37994,360000,270000
에마이티,역시기본템이 최고 휘뚜루마뚜루 잘입을 수 잇습니당,5.0,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),29900,20,37994,360000,270000
llkkkl,편안하게 데일로 입고 다니기 좋습니다 역시 가성비탬,5.0,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),29900,20,37994,360000,270000
몽0222,"165인데 신발 신어도 바닥에 살짝 닿을정도
쪼금 수선해서 입으려고여~
신축성 좋고 통이 엄청 커서 편해엌ㅋㅋ",4.0,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),29900,20,37994,360000,270000
오우거,제품 사진이랑 똑같이 생겼습니다 길이도 딱맞아서 좋습니다,5.0,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),29900,20,37994,360000,270000
평범한 일상,"블랙인줄 알고 구매했네요.ㅠ 다크그레이.
그런데 색이 흔치않아서 아들이 좋아했네요. 일단 빨아도 줄지않아서 좋습니다. 어떤건 빨면 길이가 줄어서 빨때마다 늘려야하더라구요.",5.0,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),29900,20,37994,360000,270000
흐르는터키러닝화,바지가 엄청편하고 그레이색깔이 너무나 예뻐요.,5.0,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),29900,20,37994,360000,270000
Yoonwoo,편하게 마실용으로 입고다니기 좋아요 기모라서 보온성도 굿굿,5.0,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),29900,20,37994,360000,270000
