nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
KINGMADOSA,"와, 가성비 정말 좋네요. 딱 정 사이즈에 도톰한 두께감. 추위 많이 안 타시는 분은 겨울에 이거 하나면 괜찮을 듯싶습니다.
평소 와이드 핏이 잘 안 어울려서 스트레이트 핏을 찾고 있었는데 너무 좋습니다.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
비비큐,핏도 좋고 색상도 좋아요. 기장은 그레이가 블랙보다 조금 긴거같아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
주충신,핏이 좋고 재질도 탄탄하네요. 후뚜루 입고 다니기에 좋을 듯. 늦가을 겨울 용.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
레너드번스타인,"믿고 사는 무탠다드 말이 필요한가요
무조건 입어보세요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
대담한덕수궁론칭,"재질이좋고 편합니다
편하게 나갈때 간단하게 입고 나가기 너무좋아요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
왜이리시끄련,핏 예쁘고 재질 부드러워서 데일리로 입기 좋아요!,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
션스타,무난해요 사이즈는 정핏입니다 두께감 신축성 다좋아서 편해요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
이재무님,이가격에 이 퀄리티면 빠른시간안에 또 살거같습니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
msgoodboyagree,사이즈도 잘맞고 재질도 튼튼하고 오래오래 잘입을거 같습니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
callage,딱 좋아요 핏은 슬랙스 같이 정갈하고 색도 딱 검정,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
완자초,"길이가 살짝아쉽지만 통이랑 사이즈 그리고 편안함까지!
한국인체형에 적합하게 나왔네요
게다가 너무 추레하지도 않아요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
호굼마,"입었을때 편안하고, 나름 두께가 있어서 추울때 입고나가도 꽤 따뜻합니다.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
독특한페루버클,가성비 좋아요 배송도 빠르고 색상이 마음에 들어요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
쁘띠웅,2팩 세트 기다리다가 그냥 샀네요 생각보다 두꺼움,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
낙지와쭈꾸미입니당,다른 사이즈는 다 마음에 드는데 길이가 한 2cm만 더 길었으면 좋겠어요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
낙지와쭈꾸미입니당,통이나 이런건 다 마음에 드는데 길이가 한 2cm만 더 길었어도 좋을거같아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
식빵언니10,지금날씨입기 좋아요 바지는 좀 무거운감이 있어요:),5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
서투른대학로구두,"기장, 두께감 , 신축성 적당하고 블랩이라 무난합니다.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
2jooho,사이즈도 좋고요 입었을때 편해요. 편하게 입을 수 있어요,4.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
슛돌이8282,"깔끔하고 그리 크지도 않은 적당한 통의 스웨트 팬츠입니다.
딱 원하는 핏이라 상당히 만족합니다. 추후 다른 색상 구매도 생각하고 있습니더.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
